도,지역이름,서울 터미널(서울고속버스터미널/남부터미널/동서울터미널),자차,기차,기차가격,예외
경기도,연천(전곡시외버스터미널),1:50,1:42,,,(고속버스+마을버스)
,,,,,,
강원도,태백(태백시외버스터미널),3:45,4:02,x,,
강원도,영월(영월시외버스터미널),2:15,3:12,,,
강원도,평창,2:40,3:19,,,
강원도,정선(정선여객버스터미널),2:50,3:47,,,
강원도,철원(신철원시외버스터미널),1:10,2:15,,,
강원도,화천(화천공영버스터미널),1:40,3:02,,,
강원도,양구(양구시외버스터미널),1:45,2:48,,,
강원도,인제(인제시외버스터미널),1:40,2:43,,,
강원도,고성(간성시외버스터미널),2:35,3:50,,,
강원도,양양(양양고속시외버스터미널),3:10,3:11,x,,
강원도,동해,2:45,4:00,,,
강원도,삼척,2:55,4:09,,,
강원도,홍천,1:05,2:12,,,
,,,,,,
충청남도,청양(청양시외버스터미널,2:15,3:10,,,
충청남도,서천(서천시외버스터미널),2:30,3:48,,,
충청남도,금산(금산시외버스터미널),2:30,3:57,,,
충청남도,계룡(엄사터미널),3:10,3:33,x,,
충청남도,보령,1:55,3:34,,,
충청남도,부여,1:50,3:35,,,
충청남도,홍성,2:05,3:06,,,
충청남도,예산,2:05,2:41,,,
,,,,,,
충청북도,보은(보은시외버스터미널,3:10,3:39,x,,
충청북도,옥천(옥천시외버스공용정류소),3:00,3:43(옥천역),,,(고속버스+고속버스+시내버스)
충청북도,영동(영동시외버스공용터미널),3:30,4:09,x,,(시외버스+itx)
충청북도,증평(증평시외버스터미널),1:30,2:57,,,
충청북도,괴산(괴산시외버스공용터미널),1:40,2:55,,,
충청북도,단양(제천고속버스터미널),1:40,3:10,,,
충청북도,음성,1:20,2:38,,,
